APP_NAME,RATING,CATEGORY,COLLECTIONS,RATING_COUNT,1_STAR_RATINGS,2_STAR_RATINGS,3_STAR_RATINGS,4_STAR_RATINGS,5_STAR_RATINGS,REVIEW_COUNT,INSTALLS,MIN_INSTALLS,MAX_INSTALLS,FREE,PRICE,CURRENCY,SIZE,DEVELOPER,DEVELOPER_ADDRESS,CONTENT_RATING,FAMILY_GENRE,AD_SUPPORTED,IN_APP_PURCHASES,EDITORS_CHOICE,RELEASED_DATE,LAST_UPDATED,DAY_SCRAPED
TurboScan: scan documents and receipts in PDF,4.8008566,Business,topselling_paid,17660,336,71,185,1548,15502,2232,"100,000+",100000,260440,false,4.99,USD,Varies with device,Piksoft Inc.,"2500 Santa Clara Ave, Alameda, CA 94501",Everyone,,false,false,false,"Apr 7, 2014",13/5/21,8/3/22
FX File Explorer (Plus License Key),4.284404,Business,topselling_paid,3455,315,94,315,283,2439,330,"100,000+",100000,105424,false,2.99,USD,Varies with device,"NextApp, Inc.","2549-B Eastbluff Drive #201
Newport Beach, CA 92660",Everyone,,false,false,false,"Sep 20, 2012",22/5/18,8/3/22
Real Estate Master IIIx Calc,4.7959185,Business,topselling_paid,51,0,1,0,7,42,17,"5,000+",5000,5630,false,9.99,USD,9.2M,Calculated Industries,"4840 Hytech Drive
Carson City, NV 89607",Everyone,,false,false,false,"Aug 6, 2012",26/2/19,8/3/22
OfficeSuite Pro + PDF,4.199883,Business,topselling_paid,84384,10584,3210,3755,8008,58810,7811,"1,000,000+",1000000,1280875,false,29.99,USD,130M,MobiSystems,"11772 Sorrento Valley Road, Suite 260
San Diego, CA 92121, USA",Everyone,,false,true,false,"Jul 5, 2010",1/3/22,8/3/22
LibreOffice & OpenOffice document reader Pro,3.9,Business,topselling_paid,46,9,0,4,4,27,7,"1,000+",1000,1238,false,4.99,USD,21M,Stefl und Taschauer OG,"Löwengasse, 1030 Vienna, Austria",Everyone,,false,false,false,"Nov 6, 2020",19/2/22,8/3/22
FaxCover Pro Create Cover Page,4.5,Business,topselling_paid,33,2,1,0,4,25,15,"1,000+",1000,3975,false,1.99,USD,4.1M,Actual Software Inc.,"180 5th Street
Suite 228
Saint Paul MN 55101",Everyone,,false,false,false,"Apr 23, 2014",29/8/20,8/3/22
Jump Desktop (RDP & VNC),4.0592594,Business,topselling_paid,3332,492,147,172,369,2146,995,"50,000+",50000,55881,false,4.99,USD,Varies with device,PhaseFive Systems,"POBOX 504905 DUBAI, UAE",Everyone,,false,false,false,"Aug 17, 2011",4/8/18,8/3/22
Qualifier Plus IIIx,4.82,Business,topselling_paid,111,2,0,3,4,100,51,"5,000+",5000,9102,false,19.99,USD,7.5M,Calculated Industries,"4840 Hytech Drive
Carson City, NV 89607",Everyone,,false,false,false,"Aug 6, 2012",29/9/18,8/3/22
Margarita Trail Passport,1,Business,topselling_paid,6,6,0,0,0,0,6,500+,500,893,false,1.99,USD,25M,City of Santa Fe,"200 Lincoln Avenue
Santa Fe, NM 87501",Mature 17+,,false,false,false,"Jan 23, 2018",21/2/19,8/3/22
Fast Scanner Pro: PDF Doc Scan,4.68,Business,topselling_paid,4498,86,86,134,537,3639,464,"50,000+",50000,58688,false,4.99,USD,31M,CoolMobileSolution,"340/61 Quang Trung, Go Vap, Ho Chi Minh, Vietnam",Everyone,,false,false,false,"May 19, 2014",15/1/22,8/3/22
"Tiny Scanner PRO, OCR",0,Business,topselling_paid,0,0,0,0,0,0,0,500+,500,589,false,4.49,USD,81M,Mayno Apps,"Güvenevler Mah.Keklik Cad.
Türkiye",Everyone,,false,false,false,"Jun 25, 2020",22/2/22,8/3/22
BuildCalc,4.75,Business,topselling_paid,160,4,1,2,9,140,56,"5,000+",5000,5095,false,24.99,USD,7.3M,42nd Parallel,"233 Kingsway Drive
Lexington, KY 40502",Everyone,,false,false,false,"Jul 27, 2011",9/9/20,8/3/22
Aqua Mail Pro,3.952381,Business,topselling_paid,10500,1872,311,870,808,6624,817,"100,000+",100000,313693,false,19.99,USD,104k,MobiSystems,"11772 Sorrento Valley Road, Suite 260
San Diego, CA 92121, USA",Everyone,,false,false,false,"Dec 20, 2011",16/10/19,8/3/22
Quick 2257,3.2941177,Business,topselling_paid,19,5,1,2,2,7,13,500+,500,631,false,0.99,USD,49M,Lawrence Walters,"195 W. Pine Ave.
Longwood, FL 32750-4104",Everyone,,false,false,false,"Mar 25, 2014",8/3/22,8/3/22
"Remotix VNC, RDP, NEAR (Remote Desktop)",4.26,Business,topselling_paid,512,48,20,24,60,349,81,"5,000+",5000,6454,false,9.99,USD,12M,Nulana,,Everyone,,false,false,false,"Aug 5, 2011",9/12/21,8/3/22
Payroll Guru,2.95,Business,topselling_paid,187,59,22,24,27,52,120,"5,000+",5000,7112,false,4.99,USD,108k,"Payrollguru, Inc.","12463 Rancho Bernardo Rd. #206, San Diego, CA 92128",Everyone,,false,false,false,"Apr 17, 2011",1/1/22,8/3/22
IC Realtime ICRSS Pro,2.87,Business,topselling_paid,161,63,20,7,6,60,79,"10,000+",10000,12875,false,29.99,USD,73M,ICRealtime,"3050 N Andrews Ave Ext, Pompano Beach, FL 33064",Everyone,,false,false,false,"May 28, 2012",10/1/22,8/3/22
CamCard - Business Card Reader,3.7883599,Business,topselling_paid,13329,2959,704,419,1339,7894,912,"100,000+",100000,367405,false,0.99,USD,75M,INTSIG,"11F, Bld. A No. 1268 Wanrong Road
Shanghai 200436 China",Everyone,,true,true,false,,19/1/22,8/3/22
IP Calculator & Network Tools Pro,4.6,Business,topselling_paid,20,0,0,2,4,14,7,500+,500,781,false,5.99,USD,3.3M,Elite apps,"931 Mill Grove Dr,
Norristown, Pennsylvania",Everyone,,false,false,false,"May 21, 2014",31/7/18,8/3/22
Barcode Counter Pro - Fast barcode scanner,0,Business,topselling_paid,0,0,0,0,0,0,0,100+,100,219,false,11.99,USD,14M,MartinsV.dev,,Everyone,,false,false,false,"Apr 1, 2021",18/9/21,8/3/22
Superpowers by SYPartners,4.285714,Business,topselling_paid,11,0,1,0,3,6,5,"1,000+",1000,3031,false,2.99,USD,13M,SYPartners LLC,"395 Hudson Street, 8th Floor
New York, NY 10014",Everyone,,false,false,false,"Jan 10, 2018",12/4/18,8/3/22
VSD Viewer for Visio Drawings,4.409091,Business,topselling_paid,265,12,12,12,48,180,25,"5,000+",5000,7810,false,9.99,USD,27M,Nektony,"Staleprokatna 15, Odessa, 65085",Everyone,,false,false,false,"Jun 26, 2014",29/3/21,8/3/22
PrinterShare Premium Key,4.575545,Business,topselling_paid,42098,2217,827,738,5028,33281,8844,"500,000+",500000,709686,false,10.99,USD,31k,Mobile Dynamix,"15215 Dearborn Street, Overland Park, KS 66223",Everyone,,false,false,false,,17/1/20,8/3/22
Atlas 2022 Pro,3.9444444,Business,topselling_paid,455,45,34,22,113,227,39,"5,000+",5000,9764,false,2.99,USD,43M,Appventions,"Wilson Street, Botany, Australia",Everyone,,false,false,false,"Jul 23, 2011",20/8/21,8/3/22
Scan to Spreadsheet,3.0694444,Business,topselling_paid,147,42,15,15,30,40,56,"10,000+",10000,13285,false,5.99,USD,5.1M,Berry Wing LLC Android,"78 10th ST E
UNIT 3304
Saint Paul, MN 55101",Everyone,,false,true,false,"Sep 18, 2010",24/2/19,8/3/22
HD Video Screen Mirroring,3.3762376,Dating,topgrossing,450,145,20,25,20,229,40,"100,000+",100000,187651,true,0,USD,10M,Haydrabadi,,Everyone,,true,false,false,"Jan 18, 2022",1/2/22,8/3/22
Kippo - Come Hang Out,3.780911,Dating,topgrossing,5282,1237,377,125,102,3436,1173,"500,000+",500000,573869,true,0,USD,141M,Covalent Inc.,"742 S Hill St. Suite 804
Los Angeles, CA 90014",Mature 17+,,false,true,false,"Sep 16, 2020",1/3/22,8/3/22
KindraConnect,3.1290324,Dating,topgrossing,95,31,8,10,6,38,60,"10,000+",10000,14490,true,0,USD,167M,"Kindra Connect, Inc.",,Mature 17+,,false,false,false,"Mar 3, 2020",24/2/22,8/3/22
