APP_NAME,RATING,CATEGORY,RATING_COUNT,INSTALLS,MIN_INSTALLS,MAX_INSTALLS,FREE,PRICE,CURRENCY,SIZE,CONTENT_RATING,AD_SUPPORTED,IN_APP_PURCHASES
Battery Run,4.1009173,Action,5299,"5,000,000+",5000000,5006395,true,0,USD,89M,Everyone,true,false
Count Masters - Stickman Clash,3.7176023,Action,279609,"100,000,000+",100000000,112659527,true,0,USD,96M,Everyone 10+,true,false
Sandwich Runner,4.009709,Action,13516,"10,000,000+",10000000,14062800,true,0,USD,91M,Everyone 10+,true,false
Snake Troll : Thief master,3.7948718,Puzzle,999,"1,000,000+",1000000,3292068,true,0,USD,139M,Everyone,true,true
Fishdom,4.35132,Puzzle,5295357,"100,000,000+",100000000,259481432,true,0,USD,144M,Everyone,true,true
Paper Fold,4.3969736,Puzzle,687303,"50,000,000+",50000000,84808981,true,0,USD,Varies with device,Everyone,true,true
