APP_NAME,RATING,CATEGORY,COLLECTIONS,RATING_COUNT,1_STAR_RATINGS,2_STAR_RATINGS,3_STAR_RATINGS,4_STAR_RATINGS,5_STAR_RATINGS,REVIEW_COUNT,INSTALLS,MIN_INSTALLS,MAX_INSTALLS,FREE,PRICE,CURRENCY,SIZE,DEVELOPER,DEVELOPER_ADDRESS,CONTENT_RATING,FAMILY_GENRE,AD_SUPPORTED,IN_APP_PURCHASES,EDITORS_CHOICE,RELEASED_DATE,LAST_UPDATED,DAY_SCRAPED
Slay the Spire,4.5275593,Card,topselling_paid,9981,575,311,365,732,7987,1517,"100,000+",100000,180087,false,9.99,USD,24M,Humble Games,"160 Spear St, Suite 1000, San Francisco, CA 94105",Everyone 10+,,false,false,false,"Jan 22, 2021",6/4/21,8/3/22
Exploding Kittens® - Official,4.566474,Card,topselling_paid,46770,1689,945,1935,6803,35391,8079,"500,000+",500000,738368,false,1.99,USD,56M,"Exploding Kittens, Inc","7162 Beverly Blvd
Box #272
Los Angeles, CA 90036",Everyone 10+,,false,true,true,"Mar 29, 2016",23/11/21,8/3/22
Dawncaster: Deckbuilding RPG,4.26,Card,topselling_paid,189,15,8,7,28,125,64,"1,000+",1000,3074,false,4.99,USD,819M,Wanderlost Interactive,"Louis Armstronglaan 360
3543EB, Utrecht
the Netherlands",Teen,,false,true,false,"Mar 10, 2021",7/3/22,8/3/22
Pirates Outlaws,4.3990026,Card,topselling_paid,27156,1755,809,1625,3586,19365,1492,"500,000+",500000,585909,false,0.99,USD,147M,Fabled Game,"
Room 02, 21/F, Hip Kwan Commercial Building, 38 Pitt Street, Yaumatei, Kowloon, Hong Kong.",Everyone 10+,,false,true,true,"Mar 5, 2019",6/3/22,8/3/22
Reigns,4.5402746,Card,topselling_paid,147958,4093,3243,5791,30322,104500,12444,"1,000,000+",1000000,1089678,false,2.99,USD,75M,DevolverDigital,"GHI Media LLC dba Devolver Digital
3267 Bee Caves Rd. Suite 107 Box 63
Austin, TX 78746",Teen,,false,false,false,"Aug 10, 2016",15/10/19,8/3/22
Cultist Simulator,4.3923445,Card,topselling_paid,10245,831,244,513,1125,7523,1546,"100,000+",100000,215542,false,6.99,USD,57M,Playdigious,"11 rue Hermite
54000 Nancy
FRANCE",Teen,,false,true,false,"Apr 2, 2019",26/4/21,8/3/22
Solitaire Classic - No Ads,4.290323,Card,topselling_paid,106,5,2,9,27,61,43,"1,000+",1000,1000,false,1.99,USD,22M,Card Game Pro,zhejiangshenghangzhoushixihuquyilexincunnanyiqu14dong22hao,Everyone,,false,false,false,"Mar 31, 2020",31/3/20,8/3/22
Reigns: Her Majesty,4.6153846,Card,topselling_paid,25294,593,344,940,4421,18984,1904,"100,000+",100000,316525,false,2.99,USD,91M,DevolverDigital,"GHI Media LLC dba Devolver Digital
3267 Bee Caves Rd. Suite 107 Box 63
Austin, TX 78746",Teen,,false,false,false,"Dec 6, 2017",15/10/19,8/3/22
Cribbage Pro Online!,4.4987717,Card,topselling_paid,7523,368,147,276,1293,5434,2159,"50,000+",50000,71999,false,4.99,USD,25M,"Fuller Systems, Inc.","Fuller Systems, Inc
11230 Gold Express Drive #310-119
Gold River, CA 95670",Everyone,,false,false,false,"May 13, 2010",2/3/22,8/3/22
Meteorfall: Journeys,4.3271027,Card,topselling_paid,2501,209,69,186,256,1775,352,"100,000+",100000,100116,false,3.99,USD,65M,Slothwerks,"Odyssey Lane, Milpitas
Milpitas, CA, 95035",Everyone,,false,false,true,"Jan 24, 2018",26/9/20,8/3/22
