CATEGORY_Game,CATEGORY_Non Game,FREE,AD_SUPPORTED,INSTALLS_GROUP,PRICEBAND,SIZEBAND,IN_APP_PURCHASES,DAYS_SINCE_UPDATE_RANGE,REVIEW_COUNT,RATING_COUNT
1.0,0.0,1,1,1,0,4,1,1,72.0,8355
0.0,1.0,1,1,0,0,1,0,4,15.0,1987
0.0,1.0,1,1,1,0,1,0,5,99.0,5610
1.0,0.0,1,1,1,0,2,0,3,8445.0,46102
0.0,1.0,1,0,0,0,2,0,1,9.0,28
0.0,1.0,1,0,0,0,2,0,3,89.0,260
1.0,0.0,0,0,0,4,4,0,4,11.0,73
0.0,1.0,1,1,0,0,2,1,3,11.0,2619
0.0,1.0,0,0,0,3,1,0,4,10.0,14
0.0,1.0,1,0,0,0,4,0,2,1.0,2351
1.0,0.0,1,1,0,0,1,0,3,3.0,10
1.0,0.0,1,1,0,0,3,0,4,28.0,789
1.0,0.0,1,0,0,0,2,1,0,1613.0,12911
0.0,1.0,1,0,0,0,2,1,2,4.0,15
1.0,0.0,1,1,0,0,2,0,4,54.0,16603
1.0,0.0,1,1,1,0,3,1,5,428.0,47213
1.0,0.0,0,0,0,1,4,1,4,27.0,2085
1.0,0.0,1,1,1,0,4,1,2,2492.0,26630
0.0,1.0,0,0,0,1,2,0,2,4.0,22
0.0,1.0,1,1,1,0,1,1,3,502.0,2929
0.0,1.0,1,1,0,0,2,0,2,15.0,350
0.0,1.0,1,0,0,0,2,1,0,11.0,15
1.0,0.0,1,1,0,0,2,0,2,272.0,5583
1.0,0.0,1,1,1,0,4,1,1,194.0,17370
1.0,0.0,0,0,0,3,2,0,1,16.0,542
1.0,0.0,1,1,0,0,1,1,0,370.0,9631
0.0,1.0,1,1,0,0,2,1,0,1220.0,1503
0.0,1.0,1,1,0,0,3,1,5,116.0,2223
0.0,1.0,1,0,0,0,3,1,0,24.0,56
0.0,1.0,1,1,1,0,1,1,2,2.0,2487
0.0,1.0,1,0,0,0,0,0,5,144.0,309
1.0,0.0,1,1,0,0,4,1,0,262.0,7548
1.0,0.0,1,0,1,0,3,1,1,2078.0,22699
1.0,0.0,1,1,1,0,4,1,0,2434.0,14175
0.0,1.0,1,1,0,0,0,0,2,253.0,3448
0.0,1.0,1,0,0,0,0,0,4,1.0,40
1.0,0.0,1,0,1,0,4,1,2,1232.0,29665
0.0,1.0,1,0,0,0,4,1,1,164.0,318
0.0,1.0,1,1,0,0,0,0,3,6.0,407
1.0,0.0,1,0,0,0,4,1,0,25.0,990
0.0,1.0,1,1,0,0,2,0,0,8.0,948
1.0,0.0,0,0,0,2,2,0,5,4.0,12
0.0,1.0,1,0,0,0,1,1,0,30.0,100
0.0,1.0,1,1,0,0,0,1,4,224.0,27532
1.0,0.0,1,1,1,0,3,0,4,34.0,542
1.0,0.0,1,0,0,0,4,1,2,28.0,145
0.0,1.0,1,1,0,0,1,0,5,47.0,140
0.0,1.0,1,0,0,0,4,0,0,348.0,3792
1.0,0.0,1,1,1,0,3,1,3,463.0,11078
0.0,1.0,0,0,0,1,2,0,0,15.0,217
1.0,0.0,1,0,1,0,3,1,2,216.0,2783
1.0,0.0,1,1,1,0,4,1,0,2447.0,52879
1.0,0.0,0,0,0,2,4,0,4,13.0,58
0.0,1.0,1,0,0,0,2,0,4,46.0,65
1.0,0.0,1,1,0,0,4,1,0,64.0,443
0.0,1.0,1,1,0,0,2,0,3,742.0,5227
0.0,1.0,1,0,0,0,1,1,3,87.0,584
1.0,0.0,0,0,0,2,1,0,4,7.0,28
1.0,0.0,1,1,0,0,2,1,0,14.0,50
1.0,0.0,1,1,1,0,2,1,1,117.0,5470
1.0,0.0,0,0,0,3,4,0,0,137.0,448
0.0,1.0,0,0,0,1,2,0,4,8.0,21
1.0,0.0,0,0,0,1,2,0,4,9.0,127
1.0,0.0,1,1,1,0,2,1,3,551.0,14671
0.0,1.0,1,0,0,0,2,1,3,2.0,116
1.0,0.0,1,1,0,0,2,0,3,88.0,309
1.0,0.0,0,0,0,1,0,0,4,23.0,125
0.0,1.0,1,1,1,0,0,1,3,229.0,8439
0.0,1.0,0,0,0,1,2,0,3,12.0,204
